Model,Error_Type,C,epsilon,gamma,R²,RMSE,MAE
SVR,Train,1.0,0.1,0.05,0.8109588639485062,0.3752016284170367,0.22856982066731968
SVR,Validation,1.0,0.1,0.05,0.46012695344751353,0.6222257470063589,0.4569821624863057
SVR,Train,75.0,1.0,0.5,0.28608888321406,0.7291361448381671,0.646908272856381
SVR,Validation,75.0,1.0,0.5,0.0319724793623648,0.8331937568447456,0.7051308490185528
SVR,Train,0.1,0.07,10.0,0.18702195231987728,0.7780830680970041,0.6472971706577091
SVR,Validation,0.1,0.07,10.0,0.0007260558270506534,0.8465340603603593,0.7171722828676402
SVR,Train,1.0,0.01,1.0,0.9568477319645914,0.17926205415283386,0.08982698222790626
SVR,Validation,1.0,0.01,1.0,0.08103084147396344,0.8118066846434329,0.6772958821531012
SVR,Train,10.0,0.05,1.0,0.9949633926753959,0.06124287945064229,0.050727351617382725
SVR,Validation,10.0,0.05,1.0,0.0823219063255205,0.8112362283639539,0.6761665461636739
SVR,Train,50.0,1.0,1.0,0.2800380931571478,0.732219540533024,0.6501374596432987
SVR,Validation,50.0,1.0,1.0,0.014047033400777509,0.8408727023203715,0.7117377447011904
SVR,Train,100.0,0.5,1.0,0.7464413522858412,0.434536006520236,0.4079338879913473
SVR,Validation,100.0,0.5,1.0,0.05177045177802053,0.8246295572187431,0.6946692326586587
SVR,Train,50.0,0.1,1.0,0.9860582189226601,0.10189331334582465,0.09710146646854566
SVR,Validation,50.0,0.1,1.0,0.07962146397821623,0.8124289600044606,0.6784637311878035
SVR,Train,0.1,0.05,0.01,0.4249018995484003,0.6544214441273336,0.5002880595207305
SVR,Validation,0.1,0.05,0.01,0.38600393666579613,0.6635672572741503,0.514465125451391
SVR,Train,25.0,0.5,0.01,0.7368490514167989,0.4426791070684009,0.3712611518815064
SVR,Validation,25.0,0.5,0.01,0.5124477914849583,0.5913065897511487,0.45718338025735633
SVR,Train,100.0,0.1,0.1,0.9835854852458495,0.11056064906746203,0.09531380482373489
SVR,Validation,100.0,0.1,0.1,0.2653970939372472,0.7258192394941172,0.5468306756308027
SVR,Train,1.0,0.5,0.1,0.7248238063657229,0.45268070629361024,0.4018331058089021
SVR,Validation,1.0,0.5,0.1,0.3150188777144196,0.7008764318020123,0.5700014318089556
SVR,Train,75.0,0.1,0.1,0.98322974737338,0.11175227106228217,0.0954941593783121
SVR,Validation,75.0,0.1,0.1,0.2686956618852884,0.724187842637666,0.5456216928358234
SVR,Train,50.0,0.07,0.1,0.9883345676041002,0.09320452036870377,0.06983185724414229
SVR,Validation,50.0,0.07,0.1,0.26574185242889037,0.7256489014037384,0.5453617266460995
SVR,Train,25.0,0.07,0.01,0.8348567166797016,0.35068485685618805,0.19258327481871115
SVR,Validation,25.0,0.07,0.01,0.5119022645963719,0.5916373066018034,0.4271962673963631
SVR,Train,50.0,0.5,0.5,0.7497690641678749,0.43167515675610396,0.4038160358452325
SVR,Validation,50.0,0.5,0.5,0.09931962582422738,0.803688038643973,0.6760307217852147
SVR,Train,50.0,0.1,0.1,0.9826667812548268,0.11361251250929374,0.09580395628296912
SVR,Validation,50.0,0.1,0.1,0.2753440194715534,0.7208884964260075,0.5435222848721079
SVR,Train,1.0,0.05,0.05,0.8121947766813514,0.37397312099130053,0.2053146880013069
SVR,Validation,1.0,0.05,0.05,0.4605806307577123,0.6219642512391074,0.45329186861680115
SVR,Train,10.0,1.0,1.0,0.2800380931571478,0.732219540533024,0.6501374596432987
SVR,Validation,10.0,1.0,1.0,0.014047033400777509,0.8408727023203715,0.7117377447011904
SVR,Train,75.0,0.05,1.0,0.9953532506638093,0.058824897364830694,0.05037586669714253
SVR,Validation,75.0,0.05,1.0,0.08171531029998302,0.8115043024208546,0.6766907898581047
SVR,Train,0.1,0.01,0.05,0.42261426358178844,0.6557217372505348,0.5111049451599646
SVR,Validation,0.1,0.01,0.05,0.2849958347913314,0.7160715855660208,0.5742178441379184
SVR,Train,100.0,1.0,1.0,0.2800380931571478,0.732219540533024,0.6501374596432987
SVR,Validation,100.0,1.0,1.0,0.014047033400777509,0.8408727023203715,0.7117377447011904
SVR,Train,10.0,1.0,0.5,0.2860204711199458,0.7291710795341263,0.6469446397852731
SVR,Validation,10.0,1.0,0.5,0.03195882843057862,0.8331996315904523,0.7051880890875478
SVR,Train,0.1,0.07,1.0,0.20232132213608744,0.7707269532136583,0.6393898548346704
SVR,Validation,0.1,0.07,1.0,0.015987524360176697,0.8400448182434621,0.7095784479202398
