material_id,composition,nsites,crystal_system,space_group,volume,density,density_atomic,efermi,energy_per_atom,formation_energy_per_atom,is_gap_direct,band_gap,is_oxide
mp-11582,Li4Ga4Se8,16,3,33,374.1015745850539,4.165028140620471,23.38134841156587,0.80562194,-11.676721915625,-1.063571209322917,1.0,2.0656,0.0
mp-5048,Li2Ga2Te4,8,1,122,239.65377548288564,4.598910538235989,29.956721935360704,2.3152225,-3.645618477499999,-0.839710808541665,1.0,1.5885,0.0
mp-1020059,Li2Ge4N6,12,3,36,132.89428294043262,4.854158173740732,11.074523578369384,2.84554903,-6.5367822125,-0.50848024388889,1.0,2.763,0.0
mp-1222349,Li2Ge2Rh2O8,14,3,74,152.71212987465583,5.360366300721316,10.908009276761131,3.05721699,-6.704385862142857,-1.891799774761904,0.0,1.689499999999999,1.0
mp-23703,Li1H1,2,0,225,16.207758213722748,0.8143955033141881,8.103879106861374,-0.99767685,-3.410271545,-0.489362137708333,1.0,2.981,0.0
mp-1200439,Li4In4C8N16,32,3,60,398.2926283013451,3.365452591481244,12.446644634417034,2.42000804,-7.410719360937501,-0.350902039062502,0.0,2.8984,0.0
mp-17854,Li4In4Ge4O16,28,3,62,340.8399842636136,5.035531848220658,12.17285658084334,2.37803476,-6.326747056785714,-2.172037273214285,1.0,2.4008000000000003,1.0
mp-541001,Li4In4I16,24,4,14,969.809601655855,4.310557020967439,40.40873340232729,1.84457894,-2.793979474583333,-0.999954962916666,1.0,2.3673,0.0
mp-5488,Li2In2O4,8,1,141,87.12220979913899,5.861211148870394,10.890276224892371,3.91786744,-5.70235671375,-2.061352058749999,0.0,1.814299999999999,1.0
mp-1188392,Li4In4S8,16,3,33,365.5210189743567,3.377928278021819,22.84506368589729,2.01076489,-4.418294920625001,-1.182090984374999,1.0,2.187499999999999,0.0
mp-20187,Li2In2Se4,8,1,122,210.40947671206865,4.414420042906587,26.30118458900857,1.5806244,-14.4540687475,-1.056964433697915,1.0,1.5731000000000002,0.0
mp-20782,Li2In2Te4,8,1,122,266.1031655628087,4.704605033033507,33.26289569535109,2.66456219,-3.57577265375,-0.8370955545833321,1.0,1.3847,0.0
mp-12558,Li1Mg1As1,3,0,216,58.328389330975824,3.022463836722795,19.442796443658608,2.37069355,-7.987710163333333,-0.8998631680555551,0.0,1.372299999999999,0.0
mp-1222299,Li1Mg1B1N2,5,1,119,64.81829596255544,1.795089409315927,12.963659192511088,3.54419524,-6.457976942,-1.0789089135,0.0,2.6464,0.0
mp-37906,Li1Mg1N1,3,0,216,30.452298785809447,2.467592898246037,10.150766261936482,2.91603628,-6.040044593333333,-0.8117910368055551,1.0,2.4462,0.0
mp-36111,Li1Mg1P1,3,0,216,53.39350070083401,1.9350359905122367,17.79783356694467,2.79208757,-3.736252886666667,-0.75129741765873,0.0,1.7113,0.0
mp-1207082,Li1Mg1Sb1,3,0,216,72.65014069787703,3.497205070541921,24.21671356595901,3.11473034,-3.172342869999999,-0.616211496111109,0.0,1.4438,0.0
mp-1295192,Li4Mn4C8O24,40,5,2,393.21673570360514,3.072573365152581,9.83041839259013,1.63080658,-7.906300013750001,-1.9846964963764384,0.0,0.904999999999999,1.0
mp-26983,Li4Mn4P16O48,72,3,60,1012.3732259003308,2.478519454469886,14.060739248615707,0.23417857,-7.692117964861111,-2.574986613740877,0.0,1.3434,1.0
mp-1272804,Li2Mn4O8,14,3,74,148.65876347556787,4.039450477596829,10.618483105397704,2.615264,-7.785934552857143,-2.0681063427422,0.0,0.426899999999999,1.0
mp-1210977,Li2Mn4Te2O12,20,5,1,231.9076162905286,4.874957605829479,11.59538081452643,4.69003262,-7.235553487999999,-1.929150950586206,0.0,0.012099999999999,1.0
mp-20052,Li4Mn4As4O16,28,3,62,340.8766555752494,3.91265667359391,12.17416627054462,2.33423274,-7.151699934285714,-2.075570689823481,1.0,1.9316,1.0
mp-558059,Li2Mn2F8,12,4,14,128.70969937290567,3.557508650992426,10.725808281075471,-1.11364659,-6.055091405,-2.934033461877396,0.0,1.855,0.0
mp-22200,Li3Mn3Fe3F18,27,6,150,329.2701445915272,3.5056708883616903,12.195190540426934,-0.43321394,-6.328166935555555,-2.881047644584929,0.0,2.4344,0.0
mp-771705,Li4Mn4Nb4O16,28,1,95,341.085212124965,4.260492653528718,12.18161471874875,1.70421211,-8.51176538607143,-2.659752926252054,0.0,2.7137,1.0
mp-756366,Li2Mn2Ni2O8,14,3,74,139.83127060839615,4.383651366580903,9.987947900599725,2.71977318,-6.941186613571429,-1.706483919466339,0.0,0.205499999999999,1.0
mp-754656,Li1Mn1O2,4,4,12,36.738538046608326,4.243169091621241,9.184634511652082,2.95363263,-7.40158500625,-2.159869964066093,0.0,1.150399999999999,1.0
mp-31924,Li4Mn4P8O28,44,4,15,498.203498226132,3.144034579419344,11.322806777866637,1.6481756600000002,-7.705107801136364,-2.565324869822735,0.0,1.2405,1.0
mp-1222353,Li2Mn2Rh2O8,14,3,74,143.3104599824254,5.301799876430993,10.2364614273161,3.15542488,-7.232857109285713,-1.7718442451806231,0.0,0.043499999999999,1.0
mp-755701,Li4Mn4Sb4O16,28,1,95,341.5516882125537,4.815790259989605,12.198274579019776,3.17380702,-7.098584631785714,-2.099758429109196,0.0,2.014,1.0
mp-19107,Li2Mn2V2O8,14,3,63,155.97052984040462,3.764986087521542,11.140752131457472,1.92721516,-8.078532514999997,-2.371862765180622,0.0,1.857499999999999,1.0
mp-585265,Li2Mo4P6O24,36,4,5,490.3701527223701,3.276141517703211,13.621393131176948,1.58659076,-8.019425834166666,-2.507082738458994,0.0,1.3835,1.0
mp-2767670,Li2Mo12Cl26,40,5,2,1019.6446904596309,3.3986793949646,25.491117261490768,4.57851071,-13.11260126525,-1.172586829208334,0.0,2.7719,0.0
mp-558917,Li2Mo2I2O12,18,4,4,260.23128451863494,4.157636337427093,14.457293584368609,1.18308338,-6.514779156666666,-1.6296289764814822,0.0,2.2334,1.0
mp-18987,Li2Mo2P4O14,22,4,4,291.2257489264939,3.156847265611529,13.23753404211336,3.4332438,-7.8756646786363635,-2.582824036601731,0.0,1.536099999999999,1.0
mp-8180,Li2N2O6,10,6,167,92.80084348909156,2.467377582518515,9.280084348909154,0.23629574,-6.404979223999999,-1.386762498666665,0.0,2.9369,1.0
mp-28463,Li4Nb12Cl32,48,3,64,1161.397575705695,3.255796548021494,24.19578282720198,3.05653547,-12.005633164375,-1.5215963690972232,1.0,0.8827,0.0
mp-29985,Li2Nb12Cl38,52,3,51,1295.262603400395,3.174220542549448,24.908896219238365,1.772453,-11.8034128025,-1.507739980737179,1.0,0.7552000000000001,0.0
mp-756415,Li4Nb4Fe4O16,28,1,95,332.39763535513816,4.389968586158098,11.871344119826365,2.21424705,-8.248900056428571,-2.495743894047618,0.0,2.2421,1.0
mp-1029903,Li4Nb4N8,16,3,62,191.65237873669187,4.431310932334379,11.978273671043242,2.41533404,-12.433343433125,-1.088772831666666,0.0,1.1528,0.0
mp-3924,Li2Nb2O4,8,2,194,77.26563847183948,5.667091788849184,9.658204808979937,5.22817792,-8.162920410000002,-2.686382930833336,1.0,1.579499999999999,1.0
mp-7936,Li2Nb2S4,8,2,194,127.4225028000824,4.273826671822952,15.9278128500103,5.91385699,-6.625703573750002,-1.553966813333334,0.0,0.713499999999999,0.0
mp-1025496,Li2Nb2Se4,8,2,194,146.4155846748299,5.846820275802376,18.301948084353736,5.60243542,-15.17258540375,-1.236610022447918,0.0,0.7318999999999991,0.0
mp-2348641,Li3Ni3O6,12,5,1,104.9242529039366,4.635450955622343,8.743687741994716,3.39448681,-5.894236688333334,-1.497991299166667,0.0,0.018,1.0
mp-1222366,Li2Ni2Rh2F12,18,1,102,206.4249855050764,4.545502390446148,11.468054750282018,0.76334004,-5.262976811666666,-2.314478848703703,0.0,1.6961,0.0
mp-756254,Li4Ni4Sb4O16,28,3,74,324.7145787447152,5.142315921194237,11.596949240882685,3.703120949999999,-6.397877060714286,-1.882176374047619,1.0,1.920199999999999,1.0
mp-9588,Li8P8,16,4,14,248.52719555021827,2.026625484183503,15.532949721888642,4.12805224,-6.3110585625,-0.616667199821428,0.0,0.8094999999999991,0.0
mp-27687,Li8P56,64,1,142,1357.3671398103197,2.189873519980373,21.20886155953624,3.9000896,-8.3658560221875,-0.190700947499999,0.0,1.688199999999999,0.0
mp-14115,Li1Rh1O2,4,6,166,37.46631942068893,6.286704050612769,9.366579855172231,4.4847718,-6.348113114999999,-1.555824928333332,0.0,1.515299999999999,1.0
mp-1078834,Li1Ru1F6,8,6,148,96.2956870495676,3.828229910572081,12.036960881195949,-1.80409823,-8.12823274,-2.307306563958333,0.0,0.9999,0.0
mp-995393,Li2S8,10,5,1,2115.078462404796,0.212291455219233,211.50784624047955,-4.18569431,-4.303887513,-0.611415285666665,0.0,2.1989,0.0
mp-29892,Li2Sb6O16,24,4,14,270.8505755335312,6.133481830045935,11.285440647230466,4.8029141200000005,-6.450113695833334,-1.960145810277778,1.0,0.974399999999999,1.0
mp-4995,Li4Sb4O12,20,3,52,215.50013311485165,5.4462318959327884,10.775006655742583,3.64894126,-6.294555521499999,-2.118194097166666,1.0,2.1379,1.0
