material_id,composition,nsites,crystal_system,space_group,volume,density,density_atomic,efermi,energy_per_atom,formation_energy_per_atom,is_gap_direct,band_gap
mp-17196,Ti4 As8 O28,40,Monoclinic,14,546.3010011686432,3.765535198070498,13.65752502921608,-0.18042416,-7.3767722527499995,-2.189625841083333,False,2.7625
mp-752676,Ti2 Bi4 O10,16,Orthorhombic,36,244.070745068559,7.427054837436873,15.254421566784938,5.8104366800000005,-7.423576698125,-2.371655990416668,True,2.735999999999999
mp-569814,Ti8 Br32,40,Cubic,205,1498.950674987776,3.256784298476501,37.4737668746944,-2.7744137700000002,-4.547424562250001,-1.658768930916667,True,2.4977
mp-27849,Ti2 Br2 N2,6,Orthorhombic,59,114.04447583953979,4.128694667402223,19.0074126399233,2.23725451,-7.6342475016666675,-1.677342069444446,True,0.5646
mp-13641,Ti2 Cd2 O6,10,Trigonal,148,119.04414777961351,5.810462306526291,11.904414777961351,1.77877982,-7.411338015,-2.671460970666666,False,2.9057
mp-2017901,Ti4 Cl12,16,Monoclinic,9,390.94633641069476,2.620291065384653,24.434146025668422,2.39731455,-9.655950175000001,-1.807181748541666,False,0.352199999999999
mp-5967,Ti1 Co1 Sb1,3,Cubic,216,50.222441895432794,7.557042599749188,16.740813965144266,7.3977234,-17.95148674,-0.658718782222221,False,1.043199999999999
mp-1025502,Ti1 Cu1 F6,8,Triclinic,2,99.71045572440563,3.753780690375513,12.463806965550704,-0.75932842,-5.93054627875,-2.995819661666666,False,0.20070000000000002
mp-866375,Ti1 Fe2 Ge1,4,Cubic,225,47.18664242767824,8.1712147720253,11.79666060691956,7.16593483,-7.844281295,-0.479640722083333,False,0.17089999999999902
mp-866141,Ti1 Fe2 Si1,4,Cubic,225,45.006166962292156,6.92322236784906,11.251541740573039,8.38954649,-8.24007023,-0.6748571133333341,False,0.401599999999998
mp-19963,Ti1 Fe2 Sn1,4,Cubic,225,53.810190841270924,8.587095069196165,13.452547710317731,8.82910951,-7.480849065000001,-0.269572492083334,False,0.04870000000000001
mp-1277107,Ti4 Fe4 O12,20,Triclinic,2,219.16653632662977,4.597795231408048,10.958326816331489,3.56187732,-8.971592041000001,-2.729712792666666,False,2.2487
mp-961673,Ti1 Fe1 Te1,3,Cubic,216,49.995294755868,7.682775238129715,16.665098251956,8.34164394,-7.153824243333332,-0.650884536666665,False,0.9852000000000001
mp-1008680,Ti1 Ge1 Pt1,3,Cubic,216,52.61726267376493,9.959681631797496,17.539087557921643,6.14842579,-27.079833473333334,-0.9806829755555521,False,0.8822000000000001
mp-1105715,Ti4 Ge4 S12,20,Orthorhombic,62,434.35899785867554,3.313776287212382,21.717949892933778,4.01828546,-6.167187986999997,-1.180468272166663,False,0.32369999999999904
mp-574169,Ti2 Ge2 Te12,16,Monoclinic,12,500.975959300474,5.8741952118512915,31.310997456279626,5.29405764,-22.748924890625,-0.334789833958332,False,0.336699999999999
mp-1205304,Ti2 I4 O14,20,Orthorhombic,36,298.9699139845672,4.595232181482023,14.94849569922836,1.8998583900000001,-6.146762333000001,-1.588837904833334,False,2.536299999999999
mp-23264,Ti4 I12,16,Orthorhombic,59,616.572048916698,4.616975519632068,38.535753057293626,3.0097426,-4.205900332500001,-1.089017867083334,True,0.180899999999999
mp-541013,Ti2 I8,10,Monoclinic,15,403.0048734279414,4.577633696087508,40.30048734279414,1.73853261,-3.829497920999998,-1.031189425666664,False,1.0859
mp-19082,Ti2 Mn2 O6,10,Trigonal,148,107.83263051258717,4.644506556173096,10.783263051258718,3.64199834,-9.334882121,-2.9546040562528733,False,2.004899999999999
mp-27850,Ti2 N2 Cl2,6,Orthorhombic,59,104.2300896701422,3.101115773472359,17.371681611690367,2.47889666,-11.178653548333335,-1.772338020972223,True,0.5636999999999991
